
DataSet: apex, LR: 0.005, EPOCH: 500, Batch: 1, para_re: 100.0, para_sad: 0.3, para_abu: 0.002, para_sv_a: 0.008, para_orth: 0.007, para_reg: 0.002, para_sv_L: 90, para_minvol: 0.2, WD: 4e-05, RE: 0.1070, SAD: 0.6986, Class1_sad: 1.5127, Class2_sad: 0.2336, Class3_sad: 0.1872, RMSE: 0.2659, Class1_mse: 0.3508, Class2_mse: 0.1831, Class3_mse: 0.1197, TIME:2023-06-15 10:12:16
DataSet: apex, LR: 0.005, EPOCH: 500, Batch: 1, para_re: 100.0, para_sad: 0.3, para_abu: 0.008, para_sv_a: 0.005, para_orth: 0.007, para_reg: 0.001, para_sv_L: 90, para_minvol: 0.8, WD: 4e-05, RE: 0.1272, SAD: 0.4784, Class1_sad: 0.1496, Class2_sad: 0.2335, Class3_sad: 0.1843, RMSE: 0.3501, Class1_mse: 0.4907, Class2_mse: 0.1620, Class3_mse: 0.1326, TIME:2023-06-15 10:13:52
DataSet: apex, LR: 0.005, EPOCH: 500, Batch: 1, para_re: 100.0, para_sad: 0.3, para_abu: 0.001, para_sv_a: 0.009000000000000001, para_orth: 0.003, para_reg: 0.008, para_sv_L: 90, para_minvol: 0.2, WD: 4e-05, RE: 0.1104, SAD: 0.3539, Class1_sad: 0.1496, Class2_sad: 0.2324, Class3_sad: 0.1724, RMSE: 0.1759, Class1_mse: 0.1781, Class2_mse: 0.1875, Class3_mse: 0.1514, TIME:2023-06-15 10:15:29
DataSet: apex, LR: 0.005, EPOCH: 500, Batch: 1, para_re: 100.0, para_sad: 0.3, para_abu: 0.004, para_sv_a: 0.004, para_orth: 0.005, para_reg: 0.004, para_sv_L: 90, para_minvol: 0.4, WD: 4e-05, RE: 0.1450, SAD: 0.4877, Class1_sad: 0.1496, Class2_sad: 0.2337, Class3_sad: 0.1797, RMSE: 0.3426, Class1_mse: 0.4773, Class2_mse: 0.1666, Class3_mse: 0.1332, TIME:2023-06-15 10:17:03
DataSet: apex, LR: 0.005, EPOCH: 500, Batch: 1, para_re: 100.0, para_sad: 0.3, para_abu: 0.002, para_sv_a: 0.006, para_orth: 0.005, para_reg: 0.006, para_sv_L: 90, para_minvol: 0.6000000000000001, WD: 4e-05, RE: 0.1241, SAD: 0.6686, Class1_sad: 1.4089, Class2_sad: 0.2387, Class3_sad: 0.1659, RMSE: 0.1752, Class1_mse: 0.1765, Class2_mse: 0.1885, Class3_mse: 0.1381, TIME:2023-06-15 10:18:40
DataSet: apex, LR: 0.005, EPOCH: 500, Batch: 1, para_re: 100.0, para_sad: 0.3, para_abu: 0.007, para_sv_a: 0.005, para_orth: 0.01, para_reg: 0.004, para_sv_L: 90, para_minvol: 0.8, WD: 4e-05, RE: 0.1188, SAD: 0.6430, Class1_sad: 1.3107, Class2_sad: 0.2367, Class3_sad: 0.1637, RMSE: 0.2567, Class1_mse: 0.3333, Class2_mse: 0.1848, Class3_mse: 0.1491, TIME:2023-06-15 10:20:16
DataSet: apex, LR: 0.005, EPOCH: 500, Batch: 1, para_re: 100.0, para_sad: 0.3, para_abu: 0.01, para_sv_a: 0.01, para_orth: 0.008, para_reg: 0.005, para_sv_L: 90, para_minvol: 0.2, WD: 4e-05, RE: 0.1228, SAD: 0.4773, Class1_sad: 0.1496, Class2_sad: 0.2413, Class3_sad: 0.1678, RMSE: 0.3527, Class1_mse: 0.4893, Class2_mse: 0.1750, Class3_mse: 0.1318, TIME:2023-06-15 10:21:53
DataSet: apex, LR: 0.005, EPOCH: 500, Batch: 1, para_re: 100.0, para_sad: 0.3, para_abu: 0.006, para_sv_a: 0.009000000000000001, para_orth: 0.01, para_reg: 0.002, para_sv_L: 90, para_minvol: 0.6000000000000001, WD: 4e-05, RE: 0.1090, SAD: 0.8303, Class1_sad: 1.4830, Class2_sad: 0.2311, Class3_sad: 0.1570, RMSE: 0.3313, Class1_mse: 0.4594, Class2_mse: 0.1771, Class3_mse: 0.1354, TIME:2023-06-15 10:23:29
DataSet: apex, LR: 0.005, EPOCH: 500, Batch: 1, para_re: 100.0, para_sad: 0.3, para_abu: 0.007, para_sv_a: 0.002, para_orth: 0.009000000000000001, para_reg: 0.01, para_sv_L: 90, para_minvol: 1.0, WD: 4e-05, RE: 0.1137, SAD: 0.4643, Class1_sad: 0.1496, Class2_sad: 0.2364, Class3_sad: 0.1801, RMSE: 0.3538, Class1_mse: 0.4918, Class2_mse: 0.1726, Class3_mse: 0.1348, TIME:2023-06-15 10:25:05
DataSet: apex, LR: 0.005, EPOCH: 500, Batch: 1, para_re: 100.0, para_sad: 0.3, para_abu: 0.009000000000000001, para_sv_a: 0.006, para_orth: 0.005, para_reg: 0.001, para_sv_L: 90, para_minvol: 0.6000000000000001, WD: 4e-05, RE: 0.1038, SAD: 0.7971, Class1_sad: 1.4827, Class2_sad: 0.2367, Class3_sad: 0.1621, RMSE: 0.3555, Class1_mse: 0.4821, Class2_mse: 0.1702, Class3_mse: 0.1287, TIME:2023-06-15 10:26:43
DataSet: apex, LR: 0.005, EPOCH: 500, Batch: 1, para_re: 100.0, para_sad: 0.3, para_abu: 0.005, para_sv_a: 0.01, para_orth: 0.008, para_reg: 0.006, para_sv_L: 90, para_minvol: 0.8, WD: 4e-05, RE: 0.1316, SAD: 0.3557, Class1_sad: 0.1496, Class2_sad: 0.2475, Class3_sad: 0.1645, RMSE: 0.2635, Class1_mse: 0.3548, Class2_mse: 0.1738, Class3_mse: 0.1311, TIME:2023-06-15 10:28:19
