LR: 0.009, EPOCH: 200, para_re: 1000.0, para_sad: 0.03, para_abu: 0.002, para_sv_a: 0.002, para_orth: 0.005, para_reg: 0.005, para_sv_L: 100, WD: 4e-05, RE: 0.0092, SAD: 0.6420, RMSE: 0.3062,Class1_mse: 0.3421,Class2_mse: 0.2310,Class3_mse: 0.3330,TIME:2023-05-05 21:33:57
LR: 0.009, EPOCH: 200, para_re: 1000.0, para_sad: 0.03, para_abu: 0.002, para_sv_a: 0.002, para_orth: 0.005, para_reg: 0.005, para_sv_L: 100, WD: 4e-05, RE: 0.0098, SAD: 0.6576, RMSE: 0.2485,Class1_mse: 0.3374,Class2_mse: 0.1569,Class3_mse: 0.2164,TIME:2023-05-05 21:38:40
LR: 0.009, EPOCH: 200, para_re: 1000.0, para_sad: 0.03, para_abu: 0.002, para_sv_a: 0.002, para_orth: 0.005, para_reg: 0.005, para_sv_L: 100, WD: 4e-05
RE: 0.0088, SAD: 0.6147, RMSE: 0.3487, Class1_mse: 0.3709, Class2_mse: 0.2623, Class3_mse: 0.3980, TIME:2023-05-05 21:40:58
LR: 0.009, EPOCH: 500, para_re: 1000.0, para_sad: 0.03, para_abu: 0.002, para_sv_a: 0.002, para_orth: 0.005, para_reg: 0.005, para_sv_L: 100, WD: 4e-05, RE: 0.0096, SAD: 0.7748, RMSE: 0.3153, Class1_mse: 0.3600, Class2_mse: 0.2048, Class3_mse: 0.3559, TIME:2023-05-05 21:43:28
LR: 0.009, EPOCH: 500, para_re: 1000.0, para_sad: 0.03, para_abu: 0.002, para_sv_a: 0.002, para_orth: 0.005, para_reg: 0.005, para_sv_L: 100, WD: 4e-05, RE: 0.0101, SAD: 0.8696, RMSE: 0.2568, Class1_mse: 0.3335, Class2_mse: 0.1414, Class3_mse: 0.2580, TIME:2023-05-05 21:46:58
LR: 0.008, EPOCH: 500, para_re: 1000.0, para_sad: 0.03, para_abu: 0.002, para_sv_a: 0.002, para_orth: 0.005, para_reg: 0.005, para_sv_L: 100, WD: 4e-05, RE: 0.0096, SAD: 0.6655, RMSE: 0.3574, Class1_mse: 0.3751, Class2_mse: 0.2665, Class3_mse: 0.4142, TIME:2023-05-05 21:49:02
LR: 0.008, EPOCH: 500, para_re: 1000.0, para_sad: 0.03, para_abu: 0.002, para_sv_a: 0.002, para_orth: 0.005, para_reg: 0.005, para_sv_L: 100, WD: 4e-05, RE: 0.0096, SAD: 0.3342, RMSE: 0.1512, Class1_mse: 0.1393, Class2_mse: 0.1856, Class3_mse: 0.1215, TIME:2023-05-05 21:50:25
LR: 0.008, EPOCH: 500, para_re: 1000.0, para_sad: 0.3, para_abu: 0.002, para_sv_a: 0.002, para_orth: 0.005, para_reg: 0.005, para_sv_L: 100, WD: 4e-05, RE: 0.0573, SAD: 0.6041, RMSE: 0.3810, Class1_mse: 0.3481, Class2_mse: 0.3168, Class3_mse: 0.4624, TIME:2023-05-05 21:51:51
LR: 0.008, EPOCH: 500, para_re: 1000.0, para_sad: 0.08, para_abu: 0.002, para_sv_a: 0.002, para_orth: 0.005, para_reg: 0.005, para_sv_L: 100, WD: 4e-05, RE: 0.0162, SAD: 0.6387, RMSE: 0.3351, Class1_mse: 0.2212, Class2_mse: 0.3482, Class3_mse: 0.4084, TIME:2023-05-05 21:53:09
LR: 0.008, EPOCH: 500, Batch: 10, para_re: 1000.0, para_sad: 0.08, para_abu: 0.002, para_sv_a: 0.002, para_orth: 0.005, para_reg: 0.005, para_sv_L: 100, WD: 4e-05, RE: 0.0114, SAD: 0.6873, RMSE: 0.2685, Class1_mse: 0.3406, Class2_mse: 0.1784, Class3_mse: 0.2616, TIME:2023-05-06 10:55:59
LR: 0.008, EPOCH: 500, Batch: 1, para_re: 1000.0, para_sad: 0.08, para_abu: 0.002, para_sv_a: 0.002, para_orth: 0.005, para_reg: 0.005, para_sv_L: 100, WD: 4e-05, RE: 0.0170, SAD: 0.6334, RMSE: 0.3301, Class1_mse: 0.2134, Class2_mse: 0.3455, Class3_mse: 0.4026, TIME:2023-05-06 10:57:15
LR: 0.008, EPOCH: 500, Batch: 10, para_re: 1000.0, para_sad: 0.08, para_abu: 0.002, para_sv_a: 0.002, para_orth: 0.005, para_reg: 0.005, para_sv_L: 100, WD: 4e-05, RE: 0.0112, SAD: 0.5670, RMSE: 0.2671, Class1_mse: 0.3435, Class2_mse: 0.1665, Class3_mse: 0.2615, TIME:2023-05-06 16:27:44
LR: 0.008, EPOCH: 200, Batch: 10, para_re: 1000.0, para_sad: 0.08, para_abu: 0.002, para_sv_a: 0.002, para_orth: 0.005, para_reg: 0.005, para_sv_L: 100, WD: 4e-05, RE: 0.0128, SAD: 0.6332, RMSE: 0.2900, Class1_mse: 0.3875, Class2_mse: 0.1535, Class3_mse: 0.2804, TIME:2023-05-06 16:29:23
LR: 0.008, EPOCH: 200, Batch: 10, para_re: 1000.0, para_sad: 0.08, para_abu: 0.002, para_sv_a: 0.002, para_orth: 0.005, para_reg: 0.005, para_sv_L: 100, WD: 4e-05, RE: 0.0109, SAD: 0.7402, RMSE: 0.2838, Class1_mse: 0.3522, Class2_mse: 0.1449, Class3_mse: 0.3107, TIME:2023-05-06 16:31:37
LR: 0.008, EPOCH: 200, Batch: 10, para_re: 1000.0, para_sad: 0.08, para_abu: 0.002, para_sv_a: 0.002, para_orth: 0.005, para_reg: 0.005, para_sv_L: 100, WD: 4e-05, RE: 0.0113, SAD: 0.6415, RMSE: 0.3056, Class1_mse: 0.3722, Class2_mse: 0.1933, Class3_mse: 0.3229, TIME:2023-05-06 16:34:13
LR: 0.008, EPOCH: 200, Batch: 10, para_re: 1000.0, para_sad: 0.08, para_abu: 0.002, para_sv_a: 0.002, para_orth: 0.005, para_reg: 0.005, para_sv_L: 100, WD: 4e-05, RE: 0.0088, SAD: 0.7966, RMSE: 0.3062, Class1_mse: 0.3683, Class2_mse: 0.1526, Class3_mse: 0.3498, TIME:2023-05-06 16:46:39
LR: 0.008, EPOCH: 200, Batch: 10, para_re: 1000.0, para_sad: 0.08, para_abu: 0.002, para_sv_a: 0.002, para_orth: 0.005, para_reg: 0.005, para_sv_L: 100, WD: 4e-05, RE: 0.0097, SAD: 0.6325, RMSE: 0.2555, Class1_mse: 0.3384, Class2_mse: 0.1466, Class3_mse: 0.2445, TIME:2023-05-06 16:47:17
LR: 0.008, EPOCH: 200, Batch: 10, para_re: 1000.0, para_sad: 0.08, para_abu: 0.002, para_sv_a: 0.002, para_orth: 0.005, para_reg: 0.005, para_sv_L: 100, WD: 4e-05, RE: 0.0091, SAD: 0.6015, RMSE: 0.2710, Class1_mse: 0.3668, Class2_mse: 0.1726, Class3_mse: 0.2367, TIME:2023-05-06 16:47:54
LR: 0.008, EPOCH: 200, Batch: 10, para_re: 1000.0, para_sad: 0.08, para_abu: 0.002, para_sv_a: 0.002, para_orth: 0.005, para_reg: 0.005, para_sv_L: 100, WD: 4e-05, RE: 0.0140, SAD: 0.5771, RMSE: 0.3226, Class1_mse: 0.3923, Class2_mse: 0.1692, Class3_mse: 0.3601, TIME:2023-05-06 16:48:32
LR: 0.008, EPOCH: 200, Batch: 10, para_re: 1000.0, para_sad: 0.08, para_abu: 0.002, para_sv_a: 0.002, para_orth: 0.005, para_reg: 0.005, para_sv_L: 100, WD: 4e-05, RE: 0.0100, SAD: 0.6802, RMSE: 0.2326, Class1_mse: 0.3162, Class2_mse: 0.1750, Class3_mse: 0.1782, TIME:2023-05-06 16:49:10
LR: 0.008, EPOCH: 200, Batch: 10, para_re: 1000.0, para_sad: 0.08, para_abu: 0.002, para_sv_a: 0.002, para_orth: 0.005, para_reg: 0.005, para_sv_L: 100, WD: 4e-05, RE: 0.0110, SAD: 0.6401, RMSE: 0.2435, Class1_mse: 0.3318, Class2_mse: 0.1664, Class3_mse: 0.2003, TIME:2023-05-06 16:49:49
LR: 0.008, EPOCH: 200, Batch: 10, para_re: 1000.0, para_sad: 0.08, para_abu: 0.002, para_sv_a: 0.002, para_orth: 0.005, para_reg: 0.005, para_sv_L: 100, WD: 4e-05, RE: 0.0107, SAD: 0.6490, RMSE: 0.2441, Class1_mse: 0.3252, Class2_mse: 0.1610, Class3_mse: 0.2169, TIME:2023-05-06 16:50:27
LR: 0.008, EPOCH: 200, Batch: 10, para_re: 1000.0, para_sad: 0.08, para_abu: 0.002, para_sv_a: 0.002, para_orth: 0.005, para_reg: 0.005, para_sv_L: 100, WD: 4e-05, RE: 0.0097, SAD: 0.5599, RMSE: 0.2374, Class1_mse: 0.3153, Class2_mse: 0.2112, Class3_mse: 0.1584, TIME:2023-05-06 16:51:04
LR: 0.008, EPOCH: 200, Batch: 10, para_re: 1000.0, para_sad: 0.08, para_abu: 0.002, para_sv_a: 0.002, para_orth: 0.005, para_reg: 0.005, para_sv_L: 100, WD: 4e-05, RE: 0.0093, SAD: 0.6702, RMSE: 0.2191, Class1_mse: 0.2711, Class2_mse: 0.1841, Class3_mse: 0.1914, TIME:2023-05-06 16:51:42
LR: 0.008, EPOCH: 200, Batch: 10, para_re: 1000.0, para_sad: 0.08, para_abu: 0.002, para_sv_a: 0.002, para_orth: 0.005, para_reg: 0.005, para_sv_L: 100, WD: 4e-05, RE: 0.0086, SAD: 0.5632, RMSE: 0.2678, Class1_mse: 0.3516, Class2_mse: 0.1724, Class3_mse: 0.2486, TIME:2023-05-06 16:52:20
LR: 0.004999999888241291, EPOCH: 200, Batch: 1, para_re: 100.0, para_sad: 0.009999999776482582, para_abu: 0.0010000000474974513, para_sv_a: 0.0010000000474974513, para_orth: 0.0010000000474974513, para_reg: 0.0010000000474974513, para_sv_L: 70, WD: 4e-05, RE: 0.0739, SAD: 0.5368, RMSE: 0.3477, Class1_mse: 0.4188, Class2_mse: 0.1129, Class3_mse: 0.4179, TIME:2023-05-06 17:04:36
LR: 0.004999999888241291, EPOCH: 200, Batch: 1, para_re: 100.0, para_sad: 0.009999999776482582, para_abu: 0.0010000000474974513, para_sv_a: 0.0010000000474974513, para_orth: 0.0010000000474974513, para_reg: 0.0010000000474974513, para_sv_L: 75, WD: 4e-05, RE: 0.0746, SAD: 0.5219, RMSE: 0.4112, Class1_mse: 0.4210, Class2_mse: 0.2671, Class3_mse: 0.5085, TIME:2023-05-06 17:05:01
LR: 0.004999999888241291, EPOCH: 200, Batch: 1, para_re: 100.0, para_sad: 0.009999999776482582, para_abu: 0.0010000000474974513, para_sv_a: 0.0010000000474974513, para_orth: 0.0010000000474974513, para_reg: 0.0010000000474974513, para_sv_L: 80, WD: 4e-05, RE: 0.0793, SAD: 0.4958, RMSE: 0.1578, Class1_mse: 0.2049, Class2_mse: 0.1371, Class3_mse: 0.1180, TIME:2023-05-06 17:05:25
LR: 0.004999999888241291, EPOCH: 200, Batch: 1, para_re: 100.0, para_sad: 0.009999999776482582, para_abu: 0.0010000000474974513, para_sv_a: 0.0010000000474974513, para_orth: 0.0010000000474974513, para_reg: 0.0010000000474974513, para_sv_L: 85, WD: 4e-05, RE: 0.0520, SAD: 0.5282, RMSE: 0.3488, Class1_mse: 0.4039, Class2_mse: 0.1269, Class3_mse: 0.4310, TIME:2023-05-06 17:05:49
LR: 0.004999999888241291, EPOCH: 200, Batch: 1, para_re: 100.0, para_sad: 0.009999999776482582, para_abu: 0.0010000000474974513, para_sv_a: 0.0010000000474974513, para_orth: 0.0010000000474974513, para_reg: 0.0010000000474974513, para_sv_L: 90, WD: 4e-05, RE: 0.0787, SAD: 0.5912, RMSE: 0.4164, Class1_mse: 0.4090, Class2_mse: 0.2898, Class3_mse: 0.5185, TIME:2023-05-06 17:06:13
LR: 0.004999999888241291, EPOCH: 200, Batch: 1, para_re: 100.0, para_sad: 0.009999999776482582, para_abu: 0.0010000000474974513, para_sv_a: 0.0010000000474974513, para_orth: 0.0010000000474974513, para_reg: 0.0010000000474974513, para_sv_L: 95, WD: 4e-05, RE: 0.0717, SAD: 0.2937, RMSE: 0.4334, Class1_mse: 0.4349, Class2_mse: 0.2892, Class3_mse: 0.5391, TIME:2023-05-06 17:06:37
LR: 0.004999999888241291, EPOCH: 200, Batch: 1, para_re: 100.0, para_sad: 0.009999999776482582, para_abu: 0.0010000000474974513, para_sv_a: 0.0010000000474974513, para_orth: 0.0010000000474974513, para_reg: 0.0010000000474974513, para_sv_L: 100, WD: 4e-05, RE: 0.0681, SAD: 0.5785, RMSE: 0.3653, Class1_mse: 0.4218, Class2_mse: 0.1638, Class3_mse: 0.4422, TIME:2023-05-06 17:07:02
LR: 0.004999999888241291, EPOCH: 200, Batch: 1, para_re: 100.0, para_sad: 0.009999999776482582, para_abu: 0.0010000000474974513, para_sv_a: 0.0010000000474974513, para_orth: 0.0010000000474974513, para_reg: 0.0010000000474974513, para_sv_L: 105, WD: 4e-05, RE: 0.0612, SAD: 0.4720, RMSE: 0.1929, Class1_mse: 0.2178, Class2_mse: 0.1686, Class3_mse: 0.1893, TIME:2023-05-06 17:07:27
LR: 0.004999999888241291, EPOCH: 200, Batch: 1, para_re: 100.0, para_sad: 0.009999999776482582, para_abu: 0.0010000000474974513, para_sv_a: 0.0010000000474974513, para_orth: 0.0010000000474974513, para_reg: 0.0020000000949949026, para_sv_L: 70, WD: 4e-05, RE: 0.0457, SAD: 0.5547, RMSE: 0.3428, Class1_mse: 0.4082, Class2_mse: 0.1056, Class3_mse: 0.4182, TIME:2023-05-06 17:07:52
LR: 0.004999999888241291, EPOCH: 200, Batch: 1, para_re: 100.0, para_sad: 0.009999999776482582, para_abu: 0.0010000000474974513, para_sv_a: 0.0010000000474974513, para_orth: 0.0010000000474974513, para_reg: 0.0020000000949949026, para_sv_L: 75, WD: 4e-05, RE: 0.0548, SAD: 0.6252, RMSE: 0.3997, Class1_mse: 0.3935, Class2_mse: 0.2907, Class3_mse: 0.4898, TIME:2023-05-06 17:08:18
LR: 0.004999999888241291, EPOCH: 200, Batch: 1, para_re: 100.0, para_sad: 0.08, para_abu: 0.005, para_sv_a: 0.005, para_orth: 0.005, para_reg: 0.005, para_sv_L: 100, WD: 4e-05, RE: 0.1156, SAD: 0.5469, RMSE: 0.3451, Class1_mse: 0.3727, Class2_mse: 0.2376, Class3_mse: 0.4023, TIME:2023-05-06 17:32:18
LR: 0.006000000052154064, EPOCH: 200, Batch: 1, para_re: 100.0, para_sad: 0.08, para_abu: 0.005, para_sv_a: 0.005, para_orth: 0.005, para_reg: 0.005, para_sv_L: 100, WD: 4e-05, RE: 0.0933, SAD: 0.4995, RMSE: 0.3305, Class1_mse: 0.3957, Class2_mse: 0.0874, Class3_mse: 0.4044, TIME:2023-05-06 17:32:42
LR: 0.007000000216066837, EPOCH: 200, Batch: 1, para_re: 100.0, para_sad: 0.08, para_abu: 0.005, para_sv_a: 0.005, para_orth: 0.005, para_reg: 0.005, para_sv_L: 100, WD: 4e-05, RE: 0.0962, SAD: 0.6056, RMSE: 0.4283, Class1_mse: 0.4259, Class2_mse: 0.2758, Class3_mse: 0.5411, TIME:2023-05-06 17:33:05
LR: 0.00800000037997961, EPOCH: 200, Batch: 1, para_re: 100.0, para_sad: 0.08, para_abu: 0.005, para_sv_a: 0.005, para_orth: 0.005, para_reg: 0.005, para_sv_L: 100, WD: 4e-05, RE: 0.0897, SAD: 0.3870, RMSE: 0.3228, Class1_mse: 0.3981, Class2_mse: 0.0805, Class3_mse: 0.3843, TIME:2023-05-06 17:33:28
LR: 0.009000000543892384, EPOCH: 200, Batch: 1, para_re: 100.0, para_sad: 0.08, para_abu: 0.005, para_sv_a: 0.005, para_orth: 0.005, para_reg: 0.005, para_sv_L: 100, WD: 4e-05, RE: 0.0816, SAD: 0.5033, RMSE: 0.2527, Class1_mse: 0.3139, Class2_mse: 0.0796, Class3_mse: 0.2943, TIME:2023-05-06 17:33:52
LR: 0.010000000707805157, EPOCH: 200, Batch: 1, para_re: 100.0, para_sad: 0.08, para_abu: 0.005, para_sv_a: 0.005, para_orth: 0.005, para_reg: 0.005, para_sv_L: 100, WD: 4e-05, RE: 0.0837, SAD: 0.5280, RMSE: 0.3366, Class1_mse: 0.3941, Class2_mse: 0.1220, Class3_mse: 0.4121, TIME:2023-05-06 17:34:16
