LR: 0.009, EPOCH: 200, para_re: 1000.0, para_sad: 0.03, para_abu: 0.002, para_sv_a: 0.002, para_orth: 0.005, para_reg: 0.005, para_sv_L: 100, WD: 4e-05, RE: 0.0092, SAD: 0.6420, RMSE: 0.3062,Class1_mse: 0.3421,Class2_mse: 0.2310,Class3_mse: 0.3330,TIME:2023-05-05 21:33:57
LR: 0.009, EPOCH: 200, para_re: 1000.0, para_sad: 0.03, para_abu: 0.002, para_sv_a: 0.002, para_orth: 0.005, para_reg: 0.005, para_sv_L: 100, WD: 4e-05, RE: 0.0098, SAD: 0.6576, RMSE: 0.2485,Class1_mse: 0.3374,Class2_mse: 0.1569,Class3_mse: 0.2164,TIME:2023-05-05 21:38:40
LR: 0.009, EPOCH: 200, para_re: 1000.0, para_sad: 0.03, para_abu: 0.002, para_sv_a: 0.002, para_orth: 0.005, para_reg: 0.005, para_sv_L: 100, WD: 4e-05,,,,,,,
RE: 0.0088, SAD: 0.6147, RMSE: 0.3487, Class1_mse: 0.3709, Class2_mse: 0.2623, Class3_mse: 0.3980, TIME:2023-05-05 21:40:58,,,,,,,,,,
LR: 0.009, EPOCH: 500, para_re: 1000.0, para_sad: 0.03, para_abu: 0.002, para_sv_a: 0.002, para_orth: 0.005, para_reg: 0.005, para_sv_L: 100, WD: 4e-05, RE: 0.0096, SAD: 0.7748, RMSE: 0.3153, Class1_mse: 0.3600, Class2_mse: 0.2048, Class3_mse: 0.3559, TIME:2023-05-05 21:43:28
LR: 0.009, EPOCH: 500, para_re: 1000.0, para_sad: 0.03, para_abu: 0.002, para_sv_a: 0.002, para_orth: 0.005, para_reg: 0.005, para_sv_L: 100, WD: 4e-05, RE: 0.0101, SAD: 0.8696, RMSE: 0.2568, Class1_mse: 0.3335, Class2_mse: 0.1414, Class3_mse: 0.2580, TIME:2023-05-05 21:46:58
LR: 0.008, EPOCH: 500, para_re: 1000.0, para_sad: 0.03, para_abu: 0.002, para_sv_a: 0.002, para_orth: 0.005, para_reg: 0.005, para_sv_L: 100, WD: 4e-05, RE: 0.0096, SAD: 0.6655, RMSE: 0.3574, Class1_mse: 0.3751, Class2_mse: 0.2665, Class3_mse: 0.4142, TIME:2023-05-05 21:49:02
LR: 0.008, EPOCH: 500, para_re: 1000.0, para_sad: 0.03, para_abu: 0.002, para_sv_a: 0.002, para_orth: 0.005, para_reg: 0.005, para_sv_L: 100, WD: 4e-05, RE: 0.0096, SAD: 0.3342, RMSE: 0.1512, Class1_mse: 0.1393, Class2_mse: 0.1856, Class3_mse: 0.1215, TIME:2023-05-05 21:50:25
LR: 0.008, EPOCH: 500, para_re: 1000.0, para_sad: 0.3, para_abu: 0.002, para_sv_a: 0.002, para_orth: 0.005, para_reg: 0.005, para_sv_L: 100, WD: 4e-05, RE: 0.0573, SAD: 0.6041, RMSE: 0.3810, Class1_mse: 0.3481, Class2_mse: 0.3168, Class3_mse: 0.4624, TIME:2023-05-05 21:51:51
LR: 0.008, EPOCH: 500, para_re: 1000.0, para_sad: 0.08, para_abu: 0.002, para_sv_a: 0.002, para_orth: 0.005, para_reg: 0.005, para_sv_L: 100, WD: 4e-05, RE: 0.0162, SAD: 0.6387, RMSE: 0.3351, Class1_mse: 0.2212, Class2_mse: 0.3482, Class3_mse: 0.4084, TIME:2023-05-05 21:53:09
LR: 0.005, EPOCH: 300, Batch: 1, para_re: 100.0, para_sad: 0.5, para_abu: 0.002, para_sv_a: 0.001, para_orth: 0.001, para_reg: 0.003, para_sv_L: 100, WD: 4e-05, RE: 0.1210, SAD: 0.5905, RMSE: 0.3528, Class1_mse: 0.3841, Class2_mse: 0.2309, Class3_mse: 0.4154, TIME:2023-05-07 19:53:43
LR: 0.005, EPOCH: 300, Batch: 1, para_re: 100.0, para_sad: 0.01, para_abu: 0.001, para_sv_a: 0.001, para_orth: 0.001, para_reg: 0.001, para_sv_L: 100, WD: 4e-05, RE: 0.0714, SAD: 0.5836, RMSE: 0.3744, Class1_mse: 0.3607, Class2_mse: 0.3017, Class3_mse: 0.4464, TIME:2023-05-07 19:55:35
LR: 0.005, EPOCH: 300, Batch: 1, para_re: 100.0, para_sad: 0.01, para_abu: 0.001, para_sv_a: 0.001, para_orth: 0.001, para_reg: 0.00275, para_sv_L: 100, WD: 4e-05, RE: 0.0462, SAD: 0.4802, RMSE: 0.2370, Class1_mse: 0.2934, Class2_mse: 0.1952, Class3_mse: 0.2104, TIME:2023-05-07 19:56:19
LR: 0.005, EPOCH: 300, Batch: 1, para_re: 100.0, para_sad: 0.01, para_abu: 0.001, para_sv_a: 0.001, para_orth: 0.001, para_reg: 0.0045000000000000005, para_sv_L: 100, WD: 4e-05, RE: 0.0639, SAD: 0.6067, RMSE: 0.3897, Class1_mse: 0.3711, Class2_mse: 0.3005, Class3_mse: 0.4771, TIME:2023-05-07 19:56:55
LR: 0.005, EPOCH: 300, Batch: 1, para_re: 100.0, para_sad: 0.01, para_abu: 0.001, para_sv_a: 0.001, para_orth: 0.001, para_reg: 0.00625, para_sv_L: 100, WD: 4e-05, RE: 0.0535, SAD: 0.4928, RMSE: 0.1739, Class1_mse: 0.2055, Class2_mse: 0.1522, Class3_mse: 0.1591, TIME:2023-05-07 19:57:31
LR: 0.005, EPOCH: 300, Batch: 1, para_re: 100.0, para_sad: 0.01, para_abu: 0.001, para_sv_a: 0.001, para_orth: 0.001, para_reg: 0.008, para_sv_L: 100, WD: 4e-05, RE: 0.0552, SAD: 0.4202, RMSE: 0.3489, Class1_mse: 0.4103, Class2_mse: 0.1569, Class3_mse: 0.4149, TIME:2023-05-07 19:58:08
LR: 0.005, EPOCH: 300, Batch: 1, para_re: 100.0, para_sad: 0.01, para_abu: 0.001, para_sv_a: 0.001, para_orth: 0.008, para_reg: 0.001, para_sv_L: 100, WD: 4e-05, RE: 0.0406, SAD: 0.5896, RMSE: 0.4139, Class1_mse: 0.4326, Class2_mse: 0.2596, Class3_mse: 0.5092, TIME:2023-05-07 19:58:44
LR: 0.005, EPOCH: 300, Batch: 1, para_re: 100.0, para_sad: 0.01, para_abu: 0.001, para_sv_a: 0.001, para_orth: 0.008, para_reg: 0.00275, para_sv_L: 100, WD: 4e-05, RE: 0.0338, SAD: 0.3823, RMSE: 0.3738, Class1_mse: 0.4324, Class2_mse: 0.1496, Class3_mse: 0.4579, TIME:2023-05-07 19:59:20
LR: 0.005, EPOCH: 300, Batch: 1, para_re: 100.0, para_sad: 0.01, para_abu: 0.001, para_sv_a: 0.001, para_orth: 0.008, para_reg: 0.0045000000000000005, para_sv_L: 100, WD: 4e-05, RE: 0.0549, SAD: 0.6294, RMSE: 0.4130, Class1_mse: 0.4248, Class2_mse: 0.2618, Class3_mse: 0.5125, TIME:2023-05-07 19:59:56
LR: 0.005, EPOCH: 300, Batch: 1, para_re: 100.0, para_sad: 0.01, para_abu: 0.001, para_sv_a: 0.001, para_orth: 0.008, para_reg: 0.00625, para_sv_L: 100, WD: 4e-05, RE: 0.0602, SAD: 0.5683, RMSE: 0.3618, Class1_mse: 0.4247, Class2_mse: 0.1128, Class3_mse: 0.4469, TIME:2023-05-07 20:00:33
