
LR: 0.005, EPOCH: 500, Batch: 1, para_re: 100.0, para_sad: 0.1, para_abu: 0.001, para_sv_a: 0.005, para_orth: 0.008, para_reg: 0.008, para_minvol: 1, para_sv_L: 100, WD: 4e-05, RE: 0.1005, SAD: 0.5500, Class1_sad: 0.2331, Class2_sad: 0.1820, Class3_sad: 1.2349, RMSE: 0.3861, Class1_mse: 0.4049, Class2_mse: 0.2610, Class3_mse: 0.4638, TIME:2023-05-08 15:34:43
LR: 0.005, EPOCH: 500, Batch: 1, para_re: 100.0, para_sad: 0.1, para_abu: 0.001, para_sv_a: 0.005, para_orth: 0.008, para_reg: 0.008, para_minvol: 1, para_sv_L: 100, WD: 4e-05, RE: 0.1010, SAD: 0.5506, Class1_sad: 0.2331, Class2_sad: 0.1820, Class3_sad: 1.2368, RMSE: 0.3848, Class1_mse: 0.4038, Class2_mse: 0.2604, Class3_mse: 0.4619, TIME:2023-05-08 15:53:26
LR: 0.005, EPOCH: 500, Batch: 1, para_re: 100.0, para_sad: 0.1, para_abu: 0.001, para_sv_a: 0.005, para_orth: 0.008, para_reg: 0.008, para_minvol: 1, para_sv_L: 100, WD: 4e-05, RE: 0.1035, SAD: 0.8192, Class1_sad: 1.2907, Class2_sad: 0.1827, Class3_sad: 0.9843, RMSE: 0.3798, Class1_mse: 0.4010, Class2_mse: 0.2563, Class3_mse: 0.4542, TIME:2023-05-08 15:55:43
LR: 0.005, EPOCH: 500, Batch: 1, para_re: 100.0, para_sad: 1, para_abu: 0.001, para_sv_a: 0.005, para_orth: 0.008, para_reg: 0.008, para_minvol: 10, para_sv_L: 100, WD: 4e-05, RE: 0.1162, SAD: 0.5976, Class1_sad: 0.2360, Class2_sad: 0.1737, Class3_sad: 1.3830, RMSE: 0.3628, Class1_mse: 0.3945, Class2_mse: 0.2350, Class3_mse: 0.4290, TIME:2023-05-08 15:57:46
LR: 0.005, EPOCH: 500, Batch: 1, para_re: 100.0, para_sad: 0.5, para_abu: 0.001, para_sv_a: 0.005, para_orth: 0.008, para_reg: 0.008, para_minvol: 1, para_sv_L: 100, WD: 4e-05, RE: 0.1097, SAD: 0.6002, Class1_sad: 0.2352, Class2_sad: 0.1737, Class3_sad: 1.3919, RMSE: 0.3773, Class1_mse: 0.4036, Class2_mse: 0.2365, Class3_mse: 0.4564, TIME:2023-05-08 15:59:37
LR: 0.005, EPOCH: 300, Batch: 1, para_re: 100.0, para_sad: 0.02, para_abu: 0.006, para_sv_a: 0.01, para_orth: 0.006333333333333333, para_reg: 0.006500000000000001, para_minvol: 0.6000000000000001, para_sv_L: 90, WD: 4e-05, RE: 0.0778, SAD: 0.4448, Class1_sad: 0.2287, Class2_sad: 0.1871, Class3_sad: 0.9185, RMSE: 0.1516, Class1_mse: 0.1971, Class2_mse: 0.1103, Class3_mse: 0.1339, TIME:2023-05-08 16:55:44
LR: 0.005, EPOCH: 300, Batch: 1, para_re: 100.0, para_sad: 0.06, para_abu: 0.006, para_sv_a: 0.006, para_orth: 0.001, para_reg: 0.006500000000000001, para_minvol: 0.4, para_sv_L: 90, WD: 4e-05, RE: 0.0840, SAD: 0.4211, Class1_sad: 0.2499, Class2_sad: 0.2170, Class3_sad: 0.7963, RMSE: 0.2504, Class1_mse: 0.3196, Class2_mse: 0.1720, Class3_mse: 0.2373, TIME:2023-05-08 16:56:20
LR: 0.005, EPOCH: 300, Batch: 1, para_re: 100.0, para_sad: 0.08, para_abu: 0.008, para_sv_a: 0.006, para_orth: 0.006333333333333333, para_reg: 0.0035, para_minvol: 0.8, para_sv_L: 80, WD: 4e-05, RE: 0.0885, SAD: 0.4029, Class1_sad: 0.2397, Class2_sad: 0.1982, Class3_sad: 0.7709, RMSE: 0.1796, Class1_mse: 0.2055, Class2_mse: 0.1631, Class3_mse: 0.1671, TIME:2023-05-08 16:56:57
LR: 0.005, EPOCH: 300, Batch: 1, para_re: 100.0, para_sad: 0.08, para_abu: 0.006, para_sv_a: 0.006, para_orth: 0.006333333333333333, para_reg: 0.005, para_minvol: 0.8, para_sv_L: 90, WD: 4e-05, RE: 0.1026, SAD: 0.5905, Class1_sad: 0.2286, Class2_sad: 0.1804, Class3_sad: 1.3624, RMSE: 0.3251, Class1_mse: 0.2653, Class2_mse: 0.3042, Class3_mse: 0.3926, TIME:2023-05-08 16:57:33
LR: 0.005, EPOCH: 300, Batch: 1, para_re: 100.0, para_sad: 0.08, para_abu: 0.004, para_sv_a: 0.008, para_orth: 0.0036666666666666666, para_reg: 0.006500000000000001, para_minvol: 0.6000000000000001, para_sv_L: 90, WD: 4e-05, RE: 0.0810, SAD: 0.4513, Class1_sad: 0.2167, Class2_sad: 0.2023, Class3_sad: 0.9350, RMSE: 0.0909, Class1_mse: 0.0950, Class2_mse: 0.0969, Class3_mse: 0.0798, TIME:2023-05-08 16:58:09
LR: 0.005, EPOCH: 300, Batch: 1, para_re: 100.0, para_sad: 0.02, para_abu: 0.004, para_sv_a: 0.004, para_orth: 0.009, para_reg: 0.005, para_minvol: 0.6000000000000001, para_sv_L: 100, WD: 4e-05, RE: 0.0651, SAD: 0.6460, Class1_sad: 0.2252, Class2_sad: 0.1852, Class3_sad: 1.5276, RMSE: 0.1235, Class1_mse: 0.1542, Class2_mse: 0.0906, Class3_mse: 0.1175, TIME:2023-05-08 16:58:58
LR: 0.005, EPOCH: 300, Batch: 1, para_re: 100.0, para_sad: 0.04, para_abu: 0.002, para_sv_a: 0.006, para_orth: 0.009, para_reg: 0.005, para_minvol: 0.8, para_sv_L: 80, WD: 4e-05, RE: 0.0997, SAD: 0.5896, Class1_sad: 0.2318, Class2_sad: 0.1898, Class3_sad: 1.3471, RMSE: 0.3386, Class1_mse: 0.3674, Class2_mse: 0.2341, Class3_mse: 0.3927, TIME:2023-05-08 16:59:52
LR: 0.005, EPOCH: 300, Batch: 1, para_re: 100.0, para_sad: 0.02, para_abu: 0.006, para_sv_a: 0.006, para_orth: 0.009, para_reg: 0.005, para_minvol: 0.8, para_sv_L: 90, WD: 4e-05, RE: 0.0795, SAD: 0.5866, Class1_sad: 0.2507, Class2_sad: 0.1964, Class3_sad: 1.3126, RMSE: 0.3296, Class1_mse: 0.3974, Class2_mse: 0.1060, Class3_mse: 0.3958, TIME:2023-05-08 17:00:39
LR: 0.005, EPOCH: 300, Batch: 1, para_re: 100.0, para_sad: 0.06, para_abu: 0.002, para_sv_a: 0.01, para_orth: 0.001, para_reg: 0.005, para_minvol: 1.0, para_sv_L: 80, WD: 4e-05, RE: 0.0698, SAD: 0.4129, Class1_sad: 0.2497, Class2_sad: 0.1864, Class3_sad: 0.8026, RMSE: 0.3182, Class1_mse: 0.3824, Class2_mse: 0.1210, Class3_mse: 0.3779, TIME:2023-05-08 17:01:14
LR: 0.005, EPOCH: 300, Batch: 1, para_re: 100.0, para_sad: 0.08, para_abu: 0.004, para_sv_a: 0.008, para_orth: 0.001, para_reg: 0.005, para_minvol: 0.2, para_sv_L: 90, WD: 4e-05, RE: 0.1001, SAD: 0.5289, Class1_sad: 0.2585, Class2_sad: 0.1947, Class3_sad: 1.1334, RMSE: 0.3269, Class1_mse: 0.3971, Class2_mse: 0.1234, Class3_mse: 0.3842, TIME:2023-05-08 17:01:50
LR: 0.005, EPOCH: 300, Batch: 1, para_re: 100.0, para_sad: 0.04, para_abu: 0.01, para_sv_a: 0.01, para_orth: 0.001, para_reg: 0.0035, para_minvol: 0.8, para_sv_L: 100, WD: 4e-05, RE: 0.0984, SAD: 0.4593, Class1_sad: 0.2371, Class2_sad: 0.1928, Class3_sad: 0.9482, RMSE: 0.1439, Class1_mse: 0.1798, Class2_mse: 0.1039, Class3_mse: 0.1377, TIME:2023-05-08 17:02:25
LR: 0.005, EPOCH: 300, Batch: 1, para_re: 100.0, para_sad: 0.06, para_abu: 0.002, para_sv_a: 0.004, para_orth: 0.006333333333333333, para_reg: 0.0035, para_minvol: 1.0, para_sv_L: 90, WD: 4e-05, RE: 0.1025, SAD: 0.5749, Class1_sad: 0.2271, Class2_sad: 0.1910, Class3_sad: 1.3065, RMSE: 0.3314, Class1_mse: 0.3403, Class2_mse: 0.2388, Class3_mse: 0.3958, TIME:2023-05-08 17:03:01
LR: 0.005, EPOCH: 300, Batch: 1, para_re: 100.0, para_sad: 0.06, para_abu: 0.01, para_sv_a: 0.004, para_orth: 0.001, para_reg: 0.006500000000000001, para_minvol: 0.4, para_sv_L: 90, WD: 4e-05, RE: 0.0973, SAD: 0.4738, Class1_sad: 0.2498, Class2_sad: 0.1913, Class3_sad: 0.9802, RMSE: 0.2410, Class1_mse: 0.3155, Class2_mse: 0.1727, Class3_mse: 0.2118, TIME:2023-05-08 17:03:37
